time;cpu0;avg_rtt;avg_rtt_a1;avg_rtt_a2;avg_upstream;avg_loss;avg_loss_a1;avg_loss_a2;#robots;#r_act1;#r_act2
1639651013.653;1311397.31;123.08;27.43;218.73;1.67;0.03;0.05931;0.0;12;6;6
1639651028.652;1311401.69;123.02;26.87;219.17;1.54;0.03;0.05768;0.0;12;6;6
1639651043.653;1311406.26;122.82;26.62;219.02;1.56;0.03;0.05753;0.0;12;6;6
1639651058.653;1311410.68;122.27;25.97;218.57;1.58;0.03;0.05779;0.0;12;6;6
1639651073.654;1311415.2;122.74;26.13;219.35;1.65;0.03;0.057;0.0;12;6;6
1639651088.655;1311419.83;123.25;27.15;219.35;1.62;0.03;0.05707;0.0;12;6;6
1639651103.655;1311424.43;122.61;26.32;218.9;1.55;0.03;0.05635;0.0;12;6;6
1639651118.656;1311429.09;123.09;27.05;219.13;1.58;0.03;0.05813;0.0;12;6;6
1639651133.656;1311433.69;122.8;26.72;218.88;1.55;0.03;0.05919;0.0;12;6;6
1639651148.656;1311436.75;122.58;26.37;218.8;1.54;0.03;0.06123;0.0;12;6;6
1639651163.657;1311437.98;123.23;27.43;219.03;1.83;0.03;0.06278;0.0;12;6;6
1639651178.658;1311438.07;123.41;27.48;219.33;1.61;0.03;0.06455;0.0;12;6;6
1639651193.657;1311438.23;123.55;27.73;219.37;1.71;0.04;0.07184;0.0;12;6;6
1639651208.659;1311441.75;130.64;27.55;219.0;1.58;0.04;0.07415;0.0;13;6;6
1639651223.661;1311445.63;130.35;26.85;219.06;1.53;0.03;0.07357;0.0;13;6;7
1639651238.659;1311449.58;130.11;26.18;219.19;1.64;0.03;0.07206;0.0;13;6;7
1639651253.66;1311453.36;130.62;27.12;219.34;1.63;0.03;0.07251;0.0;13;6;7
1639651268.66;1311457.18;129.88;25.68;219.19;1.65;0.03;0.07323;0.0;13;6;7
1639651283.66;1311461.08;130.26;26.57;219.14;1.61;0.03;0.07226;0.0;13;6;7
1639651298.661;1311464.97;130.2;26.27;219.29;1.53;0.03;0.07155;0.0;13;6;7
1639651313.662;1311468.88;130.13;26.37;219.07;1.62;0.03;0.07311;0.0;13;6;7
1639651328.662;1311472.73;130.25;26.62;219.09;1.68;0.03;0.07425;0.0;13;6;7
1639651343.663;1311476.42;130.32;26.78;219.07;1.6;0.03;0.07421;0.0;13;6;7
1639651358.664;1311480.0;129.75;25.37;219.21;1.61;0.04;0.07588;0.0;13;6;7
1639651373.664;1311483.63;129.98;26.13;218.99;1.55;0.03;0.07549;0.0;13;6;7
1639651388.665;1311487.12;130.28;26.37;219.34;1.62;0.03;0.07495;0.0;13;6;7
1639651403.666;1311490.78;129.96;26.12;218.97;1.51;0.03;0.07401;0.0;13;6;7
1639651418.666;1311493.29;129.82;25.78;218.99;1.67;0.03;0.07507;0.0;13;6;7
1639651433.667;1311496.98;130.15;26.53;218.96;1.68;0.04;0.07598;0.0;13;6;7
1639651448.667;1311500.45;130.02;26.28;218.94;1.69;0.03;0.07565;0.0;13;6;7
1639651463.667;1311501.04;129.95;25.88;219.16;2.13;0.03;0.07576;0.0;13;6;7
1639651478.668;1311501.31;129.71;25.35;219.16;1.89;0.03;0.07576;0.0;13;6;7
1639651493.667;1311501.31;130.42;27.0;219.07;1.71;0.04;0.07699;0.0;13;6;7
1639651508.668;1311501.74;130.1;26.37;219.01;1.71;0.04;0.0794;0.0;13;6;7
1639651523.669;1311504.82;122.99;27.01;218.97;1.77;0.03;0.06968;0.0;14;7;7
1639651538.669;1311507.72;123.04;27.27;218.81;1.65;0.04;0.07019;0.0;14;7;7
1639651553.67;1311510.41;122.98;27.39;218.57;1.75;0.04;0.08393;0.0;14;7;7
1639651568.669;1311513.12;123.04;26.97;219.11;1.64;0.04;0.08038;0.0;14;7;7
1639651583.67;1311515.98;123.16;26.97;219.36;1.71;0.05;0.09191;0.0;14;7;7
1639651598.671;1311518.85;122.81;27.0;218.61;1.7;0.04;0.08776;0.0;14;7;7
1639651613.671;1311521.64;123.09;27.04;219.14;1.7;0.04;0.08655;0.0;14;7;7
1639651628.671;1311524.29;122.94;26.94;218.94;1.71;0.04;0.08667;0.0;14;7;7
1639651643.671;1311527.12;122.79;26.5;219.07;1.53;0.04;0.08602;0.0;14;7;7
1639651658.671;1311529.01;123.31;27.46;219.16;1.77;0.04;0.08462;0.0;14;7;7
1639651673.672;1311531.87;122.89;27.03;218.76;1.77;0.04;0.08683;0.0;14;7;7
1639651688.672;1311534.47;123.21;27.29;219.13;1.64;0.05;0.09623;0.0;14;7;7
1639651703.673;1311537.33;122.74;26.43;219.04;1.7;0.05;0.09733;0.0;14;7;7
1639651718.676;1311540.01;123.19;27.43;218.96;1.65;0.05;0.09688;0.0;14;7;7
1639651733.672;1311542.82;123.08;27.07;219.09;1.64;0.05;0.09435;0.0;14;7;7
1639651748.673;1311545.48;123.29;27.44;219.14;1.72;0.05;0.09276;0.0;14;7;7
1639651763.673;1311545.7;122.66;26.1;219.21;2.16;0.05;0.09367;0.0;14;7;7
1639651778.674;1311545.84;122.56;26.34;218.79;1.92;0.05;0.09399;0.0;14;7;7
1639651793.673;1311545.84;122.62;26.84;218.4;1.71;0.05;0.09236;0.0;14;7;7
1639651808.674;1311545.84;122.86;27.2;218.53;1.61;0.05;0.09555;0.0;14;7;7
1639651823.675;1311547.07;172.12;27.56;298.61;1.49;0.05;0.09789;0.0;15;7;7
